"","Row.Names","NMDS1","NMDS2","Species","Pollinator","Pair","species2","Salvia"
"SalBle_24","SalBle_24",-0.0864124439158306,-0.0486189401744873,"SalBle_7","BIRD",2,"Salvia blepharophylla","Salvia"
"SalBle_5","SalBle_5",-0.118124532339841,-0.0888042648383344,"SalBle_7","BIRD",2,"Salvia blepharophylla","Salvia"
"SalBle_SB1","SalBle_SB1",-0.11251266765951,-0.0577385461068631,"SalBle_7","BIRD",2,"Salvia blepharophylla","Salvia"
"SalBle_SBW5","SalBle_SBW5",-0.0591588168903197,-0.056943043442716,"SalBle_7","BIRD",2,"Salvia blepharophylla","Salvia"
"SalBle_SBW6","SalBle_SBW6",-0.0407224429660826,-0.089643097792326,"SalBle_7","BIRD",2,"Salvia blepharophylla","Salvia"
"SalChio_1","SalChio_1",0.0225368873841787,-0.133200575266967,"SalChio_8","BEE",2,"Salvia chionophylla","Salvia"
"SalChio_11","SalChio_11",0.0342678049697268,-0.155013343967191,"SalChio_8","BEE",2,"Salvia chionophylla","Salvia"
"SalChio_2","SalChio_2",-0.00559221548409608,-0.0467098836853362,"SalChio_8","BEE",2,"Salvia chionophylla","Salvia"
"SalChio_3","SalChio_3",0.00400617018343258,-0.0730937516065969,"SalChio_8","BEE",2,"Salvia chionophylla","Salvia"
"SalChio_4","SalChio_4",0.0308188876278961,-0.107631666774771,"SalChio_8","BEE",2,"Salvia chionophylla","Salvia"
"SalChio_5","SalChio_5",0.019166566522584,-0.1261939992968,"SalChio_8","BEE",2,"Salvia chionophylla","Salvia"
"SalChio_6","SalChio_6",0.00100057790703035,-0.0635928844809888,"SalChio_8","BEE",2,"Salvia chionophylla","Salvia"
"SalChio_7","SalChio_7",0.0191043392959886,-0.10512888887567,"SalChio_8","BEE",2,"Salvia chionophylla","Salvia"
"SalChio_8","SalChio_8",0.00016966885543097,-0.0675409608144248,"SalChio_8","BEE",2,"Salvia chionophylla","Salvia"
