"","Row.Names","NMDS1","NMDS2","Species","Pollinator","Pair","species2","Salvia"
"SalDar_11","SalDar_11",0.0212743448265612,0.266832436004926,"SalDar_10","BIRD",NA,"Salvia darcyi","SALVIA"
"SalDar_12","SalDar_12",-0.0209110163130717,0.00583477711484905,"SalDar_10","BIRD",NA,"Salvia darcyi","SALVIA"
"SalDar_14","SalDar_14",0.0878747963965277,0.234146298745096,"SalDar_10","BIRD",NA,"Salvia darcyi","SALVIA"
"SalDar_15","SalDar_15",-0.0212343625650561,-0.00270111758202326,"SalDar_10","BIRD",NA,"Salvia darcyi","SALVIA"
"SalDar_2","SalDar_2",0.283040581678688,0.067887246420464,"SalDar_10","BIRD",NA,"Salvia darcyi","SALVIA"
"SalDar_20","SalDar_20",-0.0378488106456387,-0.0525466517356647,"SalDar_10","BIRD",NA,"Salvia darcyi","SALVIA"
"SalDar_3","SalDar_3",0.20745349083036,0.0362299335261213,"SalDar_10","BIRD",NA,"Salvia darcyi","SALVIA"
"SalFar_10","SalFar_10",-0.27676319008744,0.140943883624249,"SalFar_11","BEE",NA,"Salvia farinacea","SALVIA"
"SalFar_11","SalFar_11",-0.112202367774601,-0.0955195435685974,"SalFar_11","BEE",NA,"Salvia farinacea","SALVIA"
"SalFar_12","SalFar_12",-0.115591043976925,0.116848200874767,"SalFar_11","BEE",NA,"Salvia farinacea","SALVIA"
"SalFar_13","SalFar_13",-0.101409928661296,0.0530383892708902,"SalFar_11","BEE",NA,"Salvia farinacea","SALVIA"
"SalFar_14","SalFar_14",-0.0377341430662575,0.0505645396279634,"SalFar_11","BEE",NA,"Salvia farinacea","SALVIA"
"SalFar_15","SalFar_15",-0.0937120416095056,0.0590045266450536,"SalFar_11","BEE",NA,"Salvia farinacea","SALVIA"
"SalFar_18","SalFar_18",-0.123437367972172,0.0645496752550727,"SalFar_11","BEE",NA,"Salvia farinacea","SALVIA"
"SalFar_2","SalFar_2",-0.106501963589248,0.143821644971036,"SalFar_11","BEE",NA,"Salvia farinacea","SALVIA"
"SalFar_20","SalFar_20",-0.21884174425695,0.0508270978357331,"SalFar_11","BEE",NA,"Salvia farinacea","SALVIA"
"SalFar_3","SalFar_3",-0.212067795025024,0.0372591297526451,"SalFar_11","BEE",NA,"Salvia farinacea","SALVIA"
"SalGreg_1","SalGreg_1",-0.12480513656199,-0.0796286837843899,"SalGre_12","BIRD",NA,"Salvia greggii","SALVIA"
"SalGreg_10","SalGreg_10",-0.262672190728349,-0.0698494820930807,"SalGre_12","BIRD",NA,"Salvia greggii","SALVIA"
"SalGreg_2","SalGreg_2",0.303449140080051,0.0208949135345538,"SalGre_12","BIRD",NA,"Salvia greggii","SALVIA"
"SalGreg_3","SalGreg_3",0.150131677791169,0.0370040643619265,"SalGre_12","BIRD",NA,"Salvia greggii","SALVIA"
"SalGreg_4","SalGreg_4",-0.0152110518740935,-0.105620735162287,"SalGre_12","BIRD",NA,"Salvia greggii","SALVIA"
"SalGreg_5","SalGreg_5",-0.043413292511545,-0.0651222740310539,"SalGre_12","BIRD",NA,"Salvia greggii","SALVIA"
"SalGreg_7","SalGreg_7",0.181301084586917,0.0371577789252296,"SalGre_12","BIRD",NA,"Salvia greggii","SALVIA"
"SalGreg_8","SalGreg_8",-0.117972094735624,-0.069816899632596,"SalGre_12","BIRD",NA,"Salvia greggii","SALVIA"
"SalLeu_20","SalLeu_20",-0.00931168356298141,-0.00968529882275583,"SalLeu_13","BEE",NA,"Salvia leucantha","SALVIA"
"SalLeu_21","SalLeu_21",0.0017044606106835,0.222482547826739,"SalLeu_13","BEE",NA,"Salvia leucantha","SALVIA"
"SalLeu_22","SalLeu_22",0.0877859435092357,0.0237357214620857,"SalLeu_13","BEE",NA,"Salvia leucantha","SALVIA"
"SalLeu_23","SalLeu_23",0.0805837292630547,0.181622930394053,"SalLeu_13","BEE",NA,"Salvia leucantha","SALVIA"
"SalLeu_25","SalLeu_25",0.0303076010749008,0.283285893607896,"SalLeu_13","BEE",NA,"Salvia leucantha","SALVIA"
"SalLeu_26","SalLeu_26",-0.0151905467546631,-0.0580035025041231,"SalLeu_13","BEE",NA,"Salvia leucantha","SALVIA"
"SalLeu_5","SalLeu_5",0.11424279575745,-0.00323499633064255,"SalLeu_13","BEE",NA,"Salvia leucantha","SALVIA"
"SalMic_1","SalMic_1",-0.147341770108895,-0.0831089021322382,"SalMic_14","BIRD",NA,"Salvia microphylla","SALVIA"
"SalMic_2","SalMic_2",-0.205177851388473,-0.0628833756980496,"SalMic_14","BIRD",NA,"Salvia microphylla","SALVIA"
"SalMic_3","SalMic_3",0.349418413471132,0.105398276328805,"SalMic_14","BIRD",NA,"Salvia microphylla","SALVIA"
"SalMic_4","SalMic_4",0.362584596218628,0.111169719345753,"SalMic_14","BIRD",NA,"Salvia microphylla","SALVIA"
"SalMic_5","SalMic_5",-0.25463730689913,-0.109987255979156,"SalMic_14","BIRD",NA,"Salvia microphylla","SALVIA"
"SalMic_7","SalMic_7",-0.31195694113578,-0.0793642339935809,"SalMic_14","BIRD",NA,"Salvia microphylla","SALVIA"
