SppID,Species,Pollinator,PairMatch,Species2,Salvia
SalSin_4,SalSin_20,BEE,NA,Salvia sinaloensis,SALVIA
ScutSuf_2,ScutSuff_18,BIRD,5,Scutellaria suffrutescens,NO
ScutSuf_20,ScutSuff_18,BIRD,5,Scutellaria suffrutescens,NO
ScutSuf_5,ScutSuff_18,BIRD,5,Scutellaria suffrutescens,NO
ScutSuf_8,ScutSuff_18,BIRD,5,Scutellaria suffrutescens,NO
ScutSuf_B1,ScutSuff_18,BIRD,5,Scutellaria suffrutescens,NO
ScutSuf_B2,ScutSuff_18,BIRD,5,Scutellaria suffrutescens,NO
ScutSuf_B3,ScutSuff_18,BIRD,5,Scutellaria suffrutescens,NO
ScutWrit_1,ScutWri_19,BEE,5,Scutellaria wrightii,NO
ScutWrit_2,ScutWri_19,BEE,5,Scutellaria wrightii,NO
ScutWri_4,ScutWri_19,BEE,5,Scutellaria wrightii,NO
ScutWri_5,ScutWri_19,BEE,5,Scutellaria wrightii,NO
ScutWri_6,ScutWri_19,BEE,5,Scutellaria wrightii,NO
ScuWri_9,ScutWri_19,BEE,5,Scutellaria wrightii,NO
StaCoc_2,StaCoc_21,BIRD,NA,Stachys coccinea,NO
StaCoc_3,StaCoc_21,BIRD,NA,Stachys coccinea,NO
