"","Row.Names","NMDS1","NMDS2","Species","Pollinator","species2","Salvia"
"SalGreg_4","SalGreg_4",-0.0717862123064396,0.0913081056610297,"SalGre_12","BIRD","Salvia greggii","SALVIA"
"SalGreg_5","SalGreg_5",-0.0382854879548513,0.0691681538441256,"SalGre_12","BIRD","Salvia greggii","SALVIA"
"SalGreg_7","SalGreg_7",0.228406331981664,0.0324801557416588,"SalGre_12","BIRD","Salvia greggii","SALVIA"
"SalGreg_8","SalGreg_8",-0.0458026277312587,0.161185479916649,"SalGre_12","BIRD","Salvia greggii","SALVIA"
"SalLeu_20","SalLeu_20",0.0308880037940899,0.0621179647942112,"SalLeu_13","BEE","Salvia leucantha","SALVIA"
"SalLeu_21","SalLeu_21",0.0565112364135263,-0.218986790599559,"SalLeu_13","BEE","Salvia leucantha","SALVIA"
"SalLeu_22","SalLeu_22",0.127572921782389,0.0348273686877491,"SalLeu_13","BEE","Salvia leucantha","SALVIA"
"SalLeu_23","SalLeu_23",0.125795373480449,-0.175278779431293,"SalLeu_13","BEE","Salvia leucantha","SALVIA"
"SalLeu_25","SalLeu_25",0.0762397753883676,-0.291612967970565,"SalLeu_13","BEE","Salvia leucantha","SALVIA"
"SalLeu_26","SalLeu_26",-0.0224398230355336,0.0357264317156093,"SalLeu_13","BEE","Salvia leucantha","SALVIA"
"SalLeu_5","SalLeu_5",0.146020246669403,-0.0298113258915368,"SalLeu_13","BEE","Salvia leucantha","SALVIA"
"SalMic_1","SalMic_1",-0.0501360091799077,0.198222923417349,"SalMic_14","BIRD","Salvia microphylla","SALVIA"
"SalMic_2","SalMic_2",-0.00658144484110811,0.235864825464232,"SalMic_14","BIRD","Salvia microphylla","SALVIA"
"SalMic_3","SalMic_3",0.389879969299398,0.10850980139019,"SalMic_14","BIRD","Salvia microphylla","SALVIA"
"SalMic_4","SalMic_4",0.406051938191121,0.0804780352652837,"SalMic_14","BIRD","Salvia microphylla","SALVIA"
"SalMic_5","SalMic_5",-0.0442845146166917,0.303443567626136,"SalMic_14","BIRD","Salvia microphylla","SALVIA"
"SalMic_7","SalMic_7",0.0267421741456614,0.331387442782014,"SalMic_14","BIRD","Salvia microphylla","SALVIA"
"SalMic_8","SalMic_8",-0.0109486244781463,0.0498622071206444,"SalMic_14","BIRD","Salvia microphylla","SALVIA"
"SalReg_B1","SalReg_B1",-0.0280032571269477,0.216030287066623,"SalReg_15","BIRD","Salvia regla","SALVIA"
"SalReg_FM15","SalReg_FM15",0.00589391915936155,0.0601090609383126,"SalReg_15","BIRD","Salvia regla","SALVIA"
"SalReg_W2","SalReg_W2",-0.0253815816843047,0.0790323027921423,"SalReg_15","BIRD","Salvia regla","SALVIA"
