row.ID,Individual,LeafConc,NectarConc,ATTRIBUTE_species,Pollinator,NPC.pathway,NPC.superclass,NPC.class
18091,SalFar_20,648722.47,3834.568,Salvia_farinaceae,BEE,Terpenoids,Diterpenoids,Colensane and Clerodane diterpenoids
18091,SalFar_10,3051410.36,12017.56,Salvia_farinaceae,BEE,Terpenoids,Diterpenoids,Colensane and Clerodane diterpenoids
18091,SalFar_13,997212.09,10315.77,Salvia_farinaceae,BEE,Terpenoids,Diterpenoids,Colensane and Clerodane diterpenoids
18091,SalLeu_5,2631673.89,4920.012,Salvia_leucantha,BEE,Terpenoids,Diterpenoids,Colensane and Clerodane diterpenoids
18091,SalLeu_20,1393190.78,5709.436,Salvia_leucantha,BEE,Terpenoids,Diterpenoids,Colensane and Clerodane diterpenoids
18160,SalFar_20,568772.258,3172.172,Salvia_farinaceae,BEE,Terpenoids,Diterpenoids,Colensane and Clerodane diterpenoids
18160,SalFar_13,869900.64,9755.882,Salvia_farinaceae,BEE,Terpenoids,Diterpenoids,Colensane and Clerodane diterpenoids
18160,SalFar_10,2833871.807,11318.478,Salvia_farinaceae,BEE,Terpenoids,Diterpenoids,Colensane and Clerodane diterpenoids
18160,SalLeu_20,207966.989,5159.73,Salvia_leucantha,BEE,Terpenoids,Diterpenoids,Colensane and Clerodane diterpenoids
19228,SalChio_8,64576.363,1616.65,Salvia_chionophylla,BEE,Terpenoids,Diterpenoids,Colensane and Clerodane diterpenoids
19582,SalAzu_12,74964.5876,3693.084,Salvia_azurea,BEE,Terpenoids,Diterpenoids,Colensane and Clerodane diterpenoids
19584,SalFar_20,23644.017,2224.245,Salvia_farinaceae,BEE,Shikimates and Phenylpropanoids,Flavonoids,Flavones
19584,ScutWri_5,170332.858,7536.175,Scutellaria_wrightii,BEE,Shikimates and Phenylpropanoids,Flavonoids,Flavones
19653,SalFar_3,370965.316,5892.362,Salvia_farinaceae,BEE,Terpenoids,Diterpenoids,Colensane and Clerodane diterpenoids
1989,AniQWr_1,74221.716,2935.475,Anisacanthus_quadrifidus,BIRD,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
1989,SalBall_2,16569.812,185930.02,Salvia_ballotiflora,BEE,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
1989,SalFar_3,13062.362,94778.791,Salvia_farinaceae,BEE,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
1992,SalBall_2,7008.9176,67506.96,Salvia_ballotiflora,BEE,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
1992,SalFar_3,4728.9583,42273.19,Salvia_farinaceae,BEE,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
19928,SalFar_10,312998.133,2621.456,Salvia_farinaceae,BEE,Terpenoids,Diterpenoids,Colensane and Clerodane diterpenoids
20212,SalChio_8,698559.4,9871.294,Salvia_chionophylla,BEE,Terpenoids,Diterpenoids,Colensane and Clerodane diterpenoids
20221,SalChio_8,915087.3,8621.991,Salvia_chionophylla,BEE,Terpenoids,Diterpenoids,Colensane and Clerodane diterpenoids
20300,ScutSuf_B3,12340.197,9780.681,Scutellaria_suffrutescens,BIRD,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2046,ScutWri_5,69457.4143,13212.03,Scutellaria_wrightii,BEE,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
2048,ScutWri_5,27841.7612,5333.618,Scutellaria_wrightii,BEE,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
2061,SalCoc_3,2726.3085,6299.672,Salvia_coccinea,BIRD,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
2094,SalBall_3,1870.888,38515.843,Salvia_ballotiflora,BEE,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
2094,SalFar_10,36755.1241,6700.451,Salvia_farinaceae,BEE,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
2094,SalChio_8,14392.4583,14343.887,Salvia_chionophylla,BEE,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
2094,SalBall_5,883.9199,29959.778,Salvia_ballotiflora,BEE,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
2095,SalBall_1,1316.0174,169979.795,Salvia_ballotiflora,BEE,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
2095,SalFar_2,5876.9537,89267.422,Salvia_farinaceae,BEE,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
2095,SalFar_10,77290.9566,14916.053,Salvia_farinaceae,BEE,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
2095,SalChio_8,31681.476,41359.27,Salvia_chionophylla,BEE,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
2095,SalBall_3,9598.6133,114648.899,Salvia_ballotiflora,BEE,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
2095,AniQWr_4,160057.5664,2232.502,Anisacanthus_quadrifidus,BIRD,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
2095,SalBall_5,2188.0312,108119.251,Salvia_ballotiflora,BEE,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
21032,SalAzu_12,25378.551,1787.682,Salvia_azurea,BEE,Terpenoids,Diterpenoids,Colensane and Clerodane diterpenoids
2154,AniQWr_2,7692.481,3483.081,Anisacanthus_quadrifidus,BIRD,Amino acids and Peptides,Small peptides,Dipeptides
2163,AniQWr_4,5214.301,4553.298,Anisacanthus_quadrifidus,BIRD,Terpenoids,Monoterpenoids,Iridoids monoterpenoids
2163,AniQWr_2,21595.473,5802.617,Anisacanthus_quadrifidus,BIRD,Terpenoids,Monoterpenoids,Iridoids monoterpenoids
2170,AniQWr_2,17868.978,4698.518,Anisacanthus_quadrifidus,BIRD,Terpenoids,Monoterpenoids,Iridoids monoterpenoids
2170,AniQWr_4,4087.785,3874.229,Anisacanthus_quadrifidus,BIRD,Terpenoids,Monoterpenoids,Iridoids monoterpenoids
21755,SalBall_1,2658934.363,14195.6,Salvia_ballotiflora,BEE,Terpenoids,Diterpenoids,Abietane diterpenoids
21755,SalBall_3,3932359.293,15918.32,Salvia_ballotiflora,BEE,Terpenoids,Diterpenoids,Abietane diterpenoids
21975,AniQWr_7,81898.152,21184.092,Anisacanthus_quadrifidus,BIRD,Terpenoids,Monoterpenoids,Acyclic monoterpenoids
21975,AniQWr_1,39301.437,5428.353,Anisacanthus_quadrifidus,BIRD,Terpenoids,Monoterpenoids,Acyclic monoterpenoids
21975,AniQWr_3,30242.709,6419.138,Anisacanthus_quadrifidus,BIRD,Terpenoids,Monoterpenoids,Acyclic monoterpenoids
23062,SalLeu_5,15425.923,4419.617,Salvia_leucantha,BEE,Fatty acids,Fatty acyls,Polyamines
23062,SalLeu_23,10293.565,6040.588,Salvia_leucantha,BEE,Fatty acids,Fatty acyls,Polyamines
23062,SalLeu_21,9426.819,4440.24,Salvia_leucantha,BEE,Fatty acids,Fatty acyls,Polyamines
23349,ScutSuf_8,178499.885,14930.06,Scutellaria_suffrutescens,BIRD,Shikimates and Phenylpropanoids,Flavonoids,Flavones
23424,StaCoc_3,8193.518,15665.462,Stachys_Coccinea,BIRD,Fatty acids,Fatty Acids and Conjugates,Monoacylglycerols
23424,AniQWr_3,4659.913,11703.88,Anisacanthus_quadrifidus,BIRD,Fatty acids,Fatty Acids and Conjugates,Monoacylglycerols
23424,SalGreg_5,20392.883,2432.518,Salvia_greggii,BIRD,Fatty acids,Fatty Acids and Conjugates,Monoacylglycerols
23924,ScutWri_4,7356.8149,73829.28,Scutellaria_wrightii,BEE,Fatty acids,Fatty Acids and Conjugates,Polyamines
23924,ScutWri_6,2006.4383,29072.928,Scutellaria_wrightii,BEE,Fatty acids,Fatty Acids and Conjugates,Polyamines
25055,ScutWri_6,7346.342,24442.53,Scutellaria_wrightii,BEE,Terpenoids,Diterpenoids,Tetracyclic diterpenoids
25059,ScutWri_6,42931.4153,139824.07,Scutellaria_wrightii,BEE,Terpenoids,Diterpenoids,Abeotaxane diterpenoids
25073,ScutWri_6,19044.06,36492.478,Scutellaria_wrightii,BEE,Terpenoids,Diterpenoids,Tetracyclic diterpenoids
25494,ScutWri_6,4079.997,7918.51,Scutellaria_wrightii,BEE,Polyketides,Meroterpenoids,Triketide meroterpenoids
25669,ScutWri_6,6446.614,19130.91,Scutellaria_wrightii,BEE,Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids
25765,ScutWri_6,73294.982,170599.41,Scutellaria_wrightii,BEE,Terpenoids,Diterpenoids,Jatrophane diterpenoids
26771,ScutWri_6,16873.404,41667.614,Scutellaria_wrightii,BEE,Terpenoids,Diterpenoids,Labdane diterpenoids
26896,ScutWri_6,29224.22,36987.25,Scutellaria_wrightii,BEE,Terpenoids,Diterpenoids,Tetracyclic diterpenoids
26928,ScutWri_6,2571.707,45345.7,Scutellaria_wrightii,BEE,Terpenoids,Diterpenoids,Cembrane diterpenoids
2698,AniQWr_1,21658.4,6229.537,Anisacanthus_quadrifidus,BIRD,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Shikimic acids and derivatives
2699,AniQWr_1,78787.43,22077.39,Anisacanthus_quadrifidus,BIRD,Terpenoids,Monoterpenoids,Iridoids monoterpenoids
27078,ScutWri_6,7198.25,31753.65,Scutellaria_wrightii,BEE,Terpenoids,Steroids,Androstane steroids
