row.ID,AniQWr_1,AniQWr_2,AniQWr_3,AniQWr_4,AniQWr_7,AniQWr_8,PhysVir_10,PhysVir_11,PhysVir_12,PhysVir_13,PhysVir_14,PhysVir_20,PhysVir_3,RueBrit_10,RueBrit_19,RueBrit_20,RueBrit_21,RueBrit_22,SalAzu_10,SalAzu_11,SalAzu_12,SalBall_1,SalBall_2,SalBall_3,SalBall_4,SalBall_5,SalBle_2,SalBle_20,SalBle_22,SalBle_23,SalBle_5,SalBle_SB1,SalBle_SBW5,SalBle_SBW6,SalChio_1,SalChio_6,SalChio_8,SalCoc_1,SalCoc_10,SalCoc_11,SalCoc_2,SalCoc_3,SalCoc_4,SalCoc_5,SalCoc_6,SalDar_1,SalDar_10,SalDar_11,SalDar_12,SalDar_14,SalDar_15,SalDar_2,SalDar_20,SalDar_3,SalFar_10,SalFar_11,SalFar_12,SalFar_13,SalFar_14,SalFar_15,SalFar_18,SalFar_2,SalFar_20,SalFar_3,SalGreg_1,SalGreg_10,SalGreg_2,SalGreg_3,SalGreg_4,SalGreg_5,SalGreg_7,SalGreg_8,SalLeu_20,SalLeu_21,SalLeu_22,SalLeu_23,SalLeu_25,SalLeu_26,SalLeu_5,SalMic_1,SalMic_2,SalMic_3,SalMic_4,SalMic_5,SalMic_7,SalMic_8,SalReg_B1,SalReg_FM15,SalReg_W2,SalReg_W4,SalRoe_1,SalRoe_3,SalRoe_4,SalRoe_5,SalRoe_6,SalRoe_7,SalSin_4,SalSin_B2,SalSin_B6,ScutSuf_2,ScutSuf_20,ScutSuf_5,ScutSuf_8,ScutSuf_B1,ScutSuf_B2,ScutSuf_B3,ScutWri_4,ScutWri_5,ScutWri_6,ScutWrit_1,ScutWrit_2,ScuWri_9,StaCoc_2,StaCoc_3
339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356405.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34375.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1334756.54,402849.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87208.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118723.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064157.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116401.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44536.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87576.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,115845.48,175745.6,0,169442.01,946866.63,0,1727413.44,1042379.48,740174.83,2019601.5,1145539.39,2341226.4,2244294.64,241670.98,219352.57,0,0,195830.24,0,86499.83,0,0,0,0,450352.48,0,0,0,0,776493.4,316489.87,0,350588.55,0,0,0,0,0,0,0,0,0,0,239921.84,0,0,526705.6,0,0,0,0,0,0,0,0,199969.27,0,0,0,0,0,0,241064.91,535832.93,0,0,0,0,189502.13,0,190129.49,0,0,0,0,0,485769.76,180130.34,0,0,0,0,0,0,0,0,0,92541.63,0,0,140977.7,0,0,0,200421.84,81185.96,0,0,280038.76,427508.88,0,0,0,227544.48,311377.11,285487.66,284287.28,159760.26,217200.07,0,0,368969.26,0,0
396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239487.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,0,0,0,0,0,0,0,49047.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,219285.39,121278.56,204118.7,177513.29,0,0,1069199.56,677126.53,636330.57,838902.12,652797.41,640858.11,903700.19,0,350375.59,277427.83,275212.17,410658.46,0,173707.85,118752.09,0,0,0,0,0,0,0,182690.36,0,0,0,0,60721.61,161982.93,0,0,156087.7,204186.42,122173.46,139505.43,246887.93,183812.99,297554.2,0,82309.23,0,173950.63,0,0,420723.13,61724.38,125465.79,87255.76,0,260854.53,0,0,0,0,151092.4,0,153310.99,437768.06,96750.98,0,108747.76,0,276770.38,114732.71,0,78673.75,246583.34,0,0,0,0,171590.44,148232.17,81619.1,0,0,0,0,0,55334.94,67731.55,0,164207.63,77989.86,238265.46,0,0,0,0,0,0,0,0,0,0,0,0,0,639784.84,0,0,0,0,197258.2,311175.89,0,0,0
451,1130402.4,1214168.2,764744.2,1088486.3,1823527.8,1583782.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,85735.11,75601.91,0,62186.55,0,0,246129.61,220501.54,191566.92,505660.89,240253.65,540848.45,209501.84,0,68407.68,48706.21,0,0,65607.84,65609.64,53557.48,0,0,0,0,0,0,0,88643.34,0,0,0,0,28979.73,93141.75,0,0,53178.84,65808.42,60066.64,101646.02,56495.33,99172.67,145918.73,0,54494.31,0,0,116084.06,0,0,50228.37,44015,53589.19,0,0,0,111201.49,0,0,187527.14,0,116820.32,366300.83,45520.89,64640.28,45099.37,56086.9,99320.63,0,0,49048.14,0,0,0,0,0,309603.68,0,39357.81,62163.84,0,0,163078.39,0,58827.33,52948.63,94407.29,117089.84,0,0,0,0,0,193786.51,0,0,0,299780.74,0,77015.31,104662.92,0,90493.39,118212.55,102398.03,537049.87,184435.45,0,0,0,0,193222.48,320223.82
