CLUSTERID1,CLUSTERID2,DeltaMZ,MEH,Cosine,OtherScore,ComponentIndex,EdgeAnnotation
15134,15255,-14.016,15134,0.837,15134,4,methanol (-H2O):CH2
9592,10620,-0.001,9592,0.9236,9592,4,NA
14174,14370,32.025,14174,0.8128,14174,4,CH4O
9444,10192,0.001,9444,0.8348,9444,4,NA
11163,11617,-28.049,11163,0.8095,11163,4,NA
10142,10192,0.001,10142,0.9353,10142,4,NA
14189,15161,0,14189,0.7985,14189,4,NA
14479,15134,14.016,14479,0.8006,14479,4,methanol (-H2O):CH2
14370,15255,-32.026,14370,0.7815,14370,4,CH4O
9518,9791,-0.001,9518,0.7836,9518,4,NA
14240,15210,0,14240,0.8417,14240,4,NA
9444,10142,0,9444,0.866,9444,4,NA
10620,11191,0,10620,0.7811,10620,4,NA
15484,15565,0.059,15484,0.8109,15484,4,NA
7277,9247,18.011,7277,0.7928,7277,4,H2O
9247,9592,-0.001,9247,0.9031,9247,4,NA
10023,10620,-18.01,10023,0.8614,10023,4,H2O
11053,14174,-14.015,11053,0.8559,11053,4,methanol (-H2O):CH2
10640,15255,-14.016,10640,0.8672,10640,4,methanol (-H2O):CH2
9752,9791,-18.01,9752,0.8238,9752,4,H2O
15196,15399,-0.002,15196,0.7808,15196,9,NA
11876,12741,-32.026,11876,0.8467,11876,12,CH4O
12476,12741,-14.015,12476,0.8447,12476,12,methanol (-H2O):CH2
11876,12476,-18.012,11876,0.9779,11876,12,H2O
4181,4985,-0.001,4181,0.7319,4181,15,NA
3302,4684,-43.99,3302,0.6855,3302,15,CO2
4181,4684,-0.002,4181,0.8737,4181,15,NA
10534,20990,-80.997,10534,0.8693,10534,16,C4HO2
16170,26724,1.979,16170,0.7641,16170,16,NA
13749,24311,-14.016,13749,0.8939,13749,16,methanol (-H2O):CH2
4053,5464,0,4053,0.85,4053,16,NA
24138,26724,-14.016,24138,0.828,24138,16,methanol (-H2O):CH2
12971,24138,15.995,12971,0.7515,12971,16,O
13749,15583,-0.002,13749,0.7527,13749,16,NA
5875,7492,0,5875,0.7975,5875,16,NA
13369,16170,-0.001,13369,0.8846,13369,16,NA
5875,12209,0,5875,0.914,5875,16,NA
12209,13038,0,12209,0.9426,12209,16,NA
12209,16170,-113.995,12209,0.8026,12209,16,NA
12209,14382,-113.995,12209,0.7553,12209,16,NA
12944,26724,1.977,12944,0.8367,12944,16,NA
24311,24358,30.009,24311,0.7501,24311,16,CH2O
17777,24311,-30.01,17777,0.8073,17777,16,CH2O
12944,12971,-0.002,12944,0.9432,12944,16,NA
12944,14586,-0.002,12944,0.8621,12944,16,NA
14586,16170,0.001,14586,0.9293,14586,16,NA
4053,7492,-0.001,4053,0.7919,4053,16,NA
14382,14586,0,14382,0.9523,14382,16,NA
12944,16170,-0.001,12944,0.8976,12944,16,NA
5693,12209,0,5693,0.8175,5693,16,NA
4053,7139,0,4053,0.928,4053,16,NA
5464,7139,0,5464,0.9051,5464,16,NA
26383,26724,0.109,26383,0.8264,26383,16,NA
12971,24311,-14.015,12971,0.9201,12971,16,methanol (-H2O):CH2
5875,10534,0,5875,0.9008,5875,16,NA
13369,14586,-0.002,13369,0.8533,13369,16,NA
7139,10534,0,7139,0.9021,7139,16,NA
24358,26724,-14.015,24358,0.825,24358,16,methanol (-H2O):CH2
13369,17777,15.994,13369,0.8508,13369,16,O
13749,14586,-0.002,13749,0.8784,13749,16,NA
7139,22759,0,7139,0.7464,7139,16,NA
14586,15583,0,14586,0.7811,14586,16,NA
12944,14382,-0.001,12944,0.8571,12944,16,NA
12971,26724,1.979,12971,0.8368,12971,16,NA
20990,26724,-31.019,20990,0.842,20990,16,CH3O
14382,24311,-14.015,14382,0.8149,14382,16,methanol (-H2O):CH2
22669,22833,0.001,22669,0.9023,22669,16,NA
5464,10534,0,5464,0.8007,5464,16,NA
7492,10534,0,7492,0.8094,7492,16,NA
10534,22759,0,10534,0.781,10534,16,NA
16170,17777,15.995,16170,0.9217,16170,16,O
4053,13038,0,4053,0.9008,4053,16,NA
13749,14382,-0.001,13749,0.8753,13749,16,NA
12971,13038,113.996,12971,0.8278,12971,16,NA
12944,13369,0,12944,0.9214,12944,16,NA
10534,12971,-113.995,10534,0.865,10534,16,NA
13369,24311,-14.016,13369,0.9014,13369,16,methanol (-H2O):CH2
5693,13038,0,5693,0.8784,5693,16,NA
12944,17777,15.994,12944,0.8761,12944,16,O
10534,13038,0,10534,0.928,10534,16,NA
12971,13749,0.001,12971,0.9039,12971,16,NA
12971,16170,0,12971,0.8782,12971,16,NA
13749,26724,1.978,13749,0.8001,13749,16,NA
12209,20990,-80.997,12209,0.8703,12209,16,C4HO2
4053,10534,0,4053,0.887,4053,16,NA
22833,24138,15.994,22833,0.8301,22833,16,O
17777,26724,-14.016,17777,0.8647,17777,16,methanol (-H2O):CH2
7139,13038,0,7139,0.9586,7139,16,NA
12209,14586,-113.996,12209,0.7577,12209,16,NA
13749,17777,15.994,13749,0.8712,13749,16,O
12209,17777,-98,12209,0.7783,12209,16,NA
24138,24358,-0.001,24138,0.873,24138,16,NA
22669,24138,15.995,22669,0.8005,22669,16,O
13038,20990,-80.997,13038,0.8301,13038,16,C4HO2
5875,7139,0,5875,0.965,5875,16,NA
22833,26724,1.978,22833,0.7896,22833,16,NA
13038,22759,0,13038,0.7617,13038,16,NA
7139,12971,-113.996,7139,0.8247,7139,16,NA
5693,7139,0,5693,0.919,5693,16,NA
7492,13038,0,7492,0.7871,7492,16,NA
14382,16170,0,14382,0.9267,14382,16,NA
7139,7492,0,7139,0.7908,7139,16,NA
14382,15583,0,14382,0.7806,14382,16,NA
12944,13749,0,12944,0.917,12944,16,NA
22669,26724,1.979,22669,0.7825,22669,16,NA
14586,17777,15.995,14586,0.9169,14586,16,O
22833,24358,15.993,22833,0.8907,22833,16,O
5464,5875,0,5464,0.8825,5464,16,NA
15583,17777,15.995,15583,0.7824,15583,16,O
5464,12209,0,5464,0.7981,5464,16,NA
12971,13369,0.002,12971,0.9086,12971,16,NA
12971,24358,15.994,12971,0.7442,12971,16,O
4053,5693,-0.001,4053,0.8756,4053,16,NA
5875,13038,0,5875,0.9444,5875,16,NA
13369,13749,0,13369,0.8934,13369,16,NA
7139,12209,0,7139,0.9178,7139,16,NA
14586,24311,-14.015,14586,0.8228,14586,16,methanol (-H2O):CH2
4053,5875,0,4053,0.9236,4053,16,NA
12971,14382,0,12971,0.8331,12971,16,NA
24138,24311,-30.01,24138,0.7499,24138,16,CH2O
10534,12209,0,10534,0.9176,10534,16,NA
7492,12209,0,7492,0.7799,7492,16,NA
5693,10534,0,5693,0.8071,5693,16,NA
5875,12971,-113.996,5875,0.828,5875,16,NA
12209,22759,0,12209,0.7803,12209,16,NA
4053,12209,0,4053,0.8929,4053,16,NA
14382,17777,15.995,14382,0.9209,14382,16,O
13369,14382,-0.002,13369,0.8497,13369,16,NA
15583,16170,0.001,15583,0.7784,15583,16,NA
12971,14586,0,12971,0.8403,12971,16,NA
22669,24358,15.995,22669,0.8627,22669,16,O
5693,5875,0,5693,0.9022,5693,16,NA
12209,13749,-113.994,12209,0.8434,12209,16,NA
13749,16170,-0.001,13749,0.9059,13749,16,NA
16170,24311,-14.015,16170,0.8678,16170,16,methanol (-H2O):CH2
5464,13038,0,5464,0.8516,5464,16,NA
12971,17777,15.995,12971,0.843,12971,16,O
24311,26724,15.994,24311,0.8476,24311,16,O
12944,24311,-14.016,12944,0.9328,12944,16,methanol (-H2O):CH2
5464,5693,0,5464,0.9212,5464,16,NA
24160,24311,0.11,24160,0.9073,24160,16,NA
20756,21642,-15.997,20756,0.7876,20756,17,O
4059,6728,18.009,4059,0.7992,4059,17,H2O
20020,20756,2.017,20020,0.8055,20020,17,H2
18854,20976,2.016,18854,0.7967,18854,17,H2
6728,7086,0.002,6728,0.9314,6728,17,NA
12250,12289,0.001,12250,0.9236,12250,17,NA
7460,14065,0,7460,0.8199,7460,17,NA
5867,16647,-0.001,5867,0.8027,5867,17,NA
5196,11085,0.001,5196,0.8605,5196,17,NA
7170,7460,0.002,7170,0.9352,7170,17,NA
6728,7460,0.002,6728,0.911,6728,17,NA
4060,5938,0,4060,0.7938,4060,17,NA
7460,16647,-0.002,7460,0.7908,7460,17,NA
4073,7460,0.002,4073,0.9416,4073,17,NA
12250,20915,2.016,12250,0.7904,12250,17,H2
22763,25876,2.016,22763,0.7932,22763,17,H2
5196,7609,0,5196,0.8317,5196,17,NA
21685,23197,15.996,21685,0.7899,21685,17,O
5448,5894,0,5448,0.8927,5448,17,NA
24458,25851,15.995,24458,0.8257,24458,17,O
5044,5482,-0.001,5044,0.9312,5044,17,NA
5482,13150,-0.001,5482,0.8348,5482,17,NA
5196,6728,0,5196,0.9366,5196,17,NA
10437,12250,1.002,10437,0.8117,10437,17,isotope_13C
7609,13150,0,7609,0.7961,7609,17,NA
22763,22782,-0.001,22763,0.9454,22763,17,NA
5044,7609,-0.002,5044,0.8692,5044,17,NA
21685,23333,15.995,21685,0.8317,21685,17,O
5448,5711,0,5448,0.8735,5448,17,NA
18819,23305,2.016,18819,0.7818,18819,17,H2
21443,23333,15.994,21443,0.8599,21443,17,O
20756,25876,-14.016,20756,0.8108,20756,17,methanol (-H2O):CH2
20976,21443,-15.994,20976,0.7915,20976,17,O
10452,20932,2.014,10452,0.8063,10452,17,H2
7170,13150,0,7170,0.8168,7170,17,NA
4073,7609,0,4073,0.8492,4073,17,NA
5867,14065,0.001,5867,0.8272,5867,17,NA
7086,11085,-0.001,7086,0.8317,7086,17,NA
12250,16647,0,12250,0.8981,12250,17,NA
4059,5867,18.01,4059,0.7838,4059,17,H2O
4073,13150,0,4073,0.8159,4073,17,NA
20976,23197,0.001,20976,0.936,20976,17,NA
18854,23333,2.016,18854,0.8416,18854,17,H2
5482,12289,0,5482,0.7817,5482,17,NA
4070,5867,18.012,4070,0.8164,4070,17,H2O
4070,5225,18.012,4070,0.8113,4070,17,H2O
4073,7170,0,4073,0.9538,4073,17,NA
10437,10560,1.002,10437,0.786,10437,17,isotope_13C
